Type,Street,Postal Code,Province,Source,Latitude,Longitude,Name
DHL,Bodenseestr. 253,81249,München,amazon website,48.1422402,11.4231612680319,locker-296
Amazon Hub Locker ,BODENSEESTR. 40,81243,München,amazon website,48.1468947,11.4514558,locker-297
Amazon Hub Locker ,Brunhamstraße 21,81249,München,amazon website,48.1406082,11.426319,locker-298
Amazon Hub Locker ,Cosimastr. 10,81927,München,amazon website,48.15571205,11.630130091293195,locker-299
Amazon Hub Locker ,Freischützstr. 4,81927,München,amazon website,48.1575328,11.6423236,locker-301
Amazon Hub Locker ,Freisinger Landstr. 9,80939,München,amazon website,48.1910157,11.6203615,locker-302
Amazon Hub Locker ,Friedrich-Eckart-Str. 39,81929,München,amazon website,48.1449095,11.639474900000002,locker-303
Amazon Hub Locker ,Grasbrunner Strasse 19,81677,München,amazon website,48.1377696,11.6541036,locker-305
Amazon Hub Locker ,Grillparzerstr. 15,81675,München,amazon website,48.13456325,11.6098134196725,locker-306
Amazon Hub Locker ,Grosshaderner Strasse 44,81375,München,amazon website,48.1202625,11.4820291,locker-307
DHL,Hiltenspergerstr. 23,80798,München,amazon website,48.1577044,11.5658886,locker-309
Amazon Hub Locker ,Impler Str. 21,81371,München,amazon website,48.1219735,11.549030300000002,locker-310
Amazon Hub Locker ,Innsbrucker Ring 142,81669,München,amazon website,48.1149407,11.6170086,locker-311
Amazon Hub Locker ,Innsbrucker Ring 149,81669,München,amazon website,48.1121706,11.614973,locker-312
Amazon Hub Locker ,Landsberger Str. 425,81241,München,amazon website,48.1449676,11.4778838,locker-313
Amazon Hub Locker ,Leopoldstr. 140,80804,München,amazon website,48.16853365,11.586694993730301,locker-314
Amazon Hub Locker ,LIESL-KARLSTADT-STR. 25,81476,München,amazon website,48.08447625,11.4906855746564,locker-315
Amazon Hub Locker ,Marcel-Breuer-Strasse 10,80807,München,amazon website,48.18215545,11.5974900549718,locker-316
Amazon Hub Locker ,Menzingerstr. 10,80638,München,amazon website,48.1600935,11.5118955,locker-317
Amazon Hub Locker ,Nymphenburgstr. 57-59,80335,München,amazon website,48.14938709455711,11.548003072107699,locker-318
Amazon Hub Locker ,Pettenkoferstrasse 2,80336,München,amazon website,48.134042,11.565191,locker-319
Amazon Hub Locker ,Sonnenstrasse 24-26,80331,München,amazon website,48.1351237,11.5649772,locker-320
Amazon Hub Locker ,St.-Martin-Strasse 66,81541,München,amazon website,48.117774,11.595204,locker-321
Amazon Hub Locker ,Steinerweg 5,81241,München,amazon website,48.1444878,11.454284089578099,locker-322
Amazon Hub Locker ,Thomas-Wimmer-Ring,80539,München,amazon website,48.1382439,11.5844698,locker-323
Amazon Hub Locker ,Triebstr. 35a,80993,München,amazon website,48.1872812,11.535247300000002,locker-324
Amazon Hub Locker ,Ungererstr. 65,80805,München,amazon website,48.171258,11.5944205,locker-325
Amazon Hub Locker ,Verdistr. 141,81247,München,amazon website,48.1643605,11.459361291420901,locker-326
Amazon Hub Locker ,VERDISTR. 96,81247,München,amazon website,48.1649558,11.4673026,locker-327
Amazon Hub Locker ,Von-Kahr-Str. 62,80999,München,amazon website,48.177814,11.4675449,locker-328
Amazon Hub Locker ,Willy-Brandt-Platz 5,81829,München,amazon website,48.1322477,11.6931425,locker-330
DHL,Adolf-Kolping-Str. 4,80336,München,dhl website,48.1382632,11.563819,locker-2
DHL,Albert-Roßhaupter-Str. 104,81369,München,dhl website,48.1156776,11.5238548,locker-3
DHL,Albert-Roßhaupter-Str. 35-39,81369,München,dhl website,48.11667429999999,11.5297063,locker-4
DHL,Allacher Str. 20,80992,München,dhl website,48.1717859,11.5071373,locker-5
DHL,Arabellastr. 5,81925,München,dhl website,48.1511545,11.618472588478198,locker-16
DHL,Arabellastr. 7,81925,München,dhl website,48.15044810000001,11.618131663966501,locker-17
DHL,Arcisstr. 17,80333,München,dhl website,48.14736995,11.5670164071561,locker-18
DHL,Arnulfstr. 195,80634,München,dhl website,48.14890085,11.5238270521204,locker-19
DHL,Arnulfstr. 21,80335,München,dhl website,48.1422759,11.5490785,locker-20
DHL,Arnulfstr. 279,80639,München,dhl website,48.152251,11.5144005,locker-21
DHL,Aschauer Str. 19,81549,München,dhl website,48.1052349,11.6017074,locker-22
DHL,Bad-Schachener-Str. 2a,81671,München,dhl website,48.1205184,11.6135774,locker-23
DHL,Baierbrunner Str. 75,81379,München,dhl website,48.0924083,11.5306485,locker-30
DHL,Bajuwarenstr. 71,81825,München,dhl website,48.1187215,11.6589996,locker-31
DHL,Balanstr. 188,81549,München,dhl website,48.1059045,11.603835208596099,locker-32
DHL,Balanstr. 358,81549,München,dhl website,48.091851,11.6098444910133,locker-33
DHL,Balanstr. 50,81541,München,dhl website,48.121412899999996,11.597461118378598,locker-34
DHL,Belgradstr. 72,80804,München,dhl website,48.168424,11.5740739,locker-38
DHL,Berg-am-Laim-Str. 97-99,81673,München,dhl website,48.1282283,11.6302056,locker-40
DHL,Bergsonstr. 147,81245,München,dhl website,48.1607947,11.424161157536302,locker-42
DHL,Biedersteiner Str. 22-24,80805,München,dhl website,48.1679901,11.5966391,locker-43
DHL,Bodenseestr. 171,81243,München,dhl website,48.14360385,11.4322878027351,locker-44
DHL,Bremer Str. 6,80807,München,dhl website,48.189544,11.569062888015699,locker-47
DHL,Brunhamstr. 18,81249,München,dhl website,48.1408837,11.423807181578699,locker-48
DHL,Carl-Wery-Str. 28,81739,München,dhl website,48.0903137,11.6444371,locker-51
DHL,Christoph-Probst-Str. 6,80805,München,dhl website,48.1832899,11.609916900000002,locker-52
DHL,Clarita-Bernhard-Str. 16,81249,München,dhl website,48.1393784,11.408972061942,locker-53
DHL,Clemensstr. 15,80803,München,dhl website,48.16347800000001,11.583516,locker-54
DHL,Cosimastr. 217,81925,München,dhl website,48.1695941,11.6345897,locker-56
DHL,Dachauer Str. 176,80992,München,dhl website,48.1734339,11.5274191,locker-57
DHL,Dachauer Str. 380,80993,München,dhl website,48.191922399999996,11.5039076585604,locker-59
DHL,Dachauer Str. 382,80993,München,dhl website,48.192264,11.5030619015741,locker-60
DHL,Dachauer Str. 457,80993,München,dhl website,48.1831365,11.5069563,locker-61
DHL,Dachauer Str. 667,80995,München,dhl website,48.2183341,11.477070802759302,locker-62
DHL,Effnerstr. 101,81925,München,dhl website,48.1603842,11.62072,locker-67
DHL,Elisabeth-Castonier-Platz 25,81829,München,dhl website,48.13256970000001,11.705012599999998,locker-70
DHL,Engadiner Str. 2,81475,München,dhl website,48.0898593,11.4804945,locker-73
DHL,Eversbuschstr. 202f,80999,München,dhl website,48.203096,11.458218,locker-74
DHL,Eversbuschstr. 33,80999,München,dhl website,48.1807184,11.4608018,locker-75
DHL,Feldmochinger Str. 53,80993,München,dhl website,48.18648405,11.5208261225576,locker-76
DHL,Felsennelkenanger 15,80937,München,dhl website,48.2108511,11.563871699999998,locker-77
DHL,Floriansmühlstr. 60,80939,München,dhl website,48.18646275,11.627668982703,locker-79
DHL,Frankfurter Ring 19,80807,München,dhl website,48.1881766,11.570907900213301,locker-82
DHL,Frankfurter Ring 5,80807,München,dhl website,48.18819620000001,11.5677435599018,locker-83
DHL,Franz-Fackler-Str. 3,80995,München,dhl website,48.2002685,11.5372661,locker-84
DHL,Fraunhoferstr. 22a,80469,München,dhl website,48.1291936,11.5740653,locker-86
DHL,Freischützstr. 46,81927,München,dhl website,48.1652974,11.6452805367738,locker-89
DHL,Freisinger Landstr. 64,80939,München,dhl website,48.1974908,11.6262211,locker-90
DHL,Friedenstr. 17a,81671,München,dhl website,48.1265378,11.6059481,locker-92
DHL,Fritz-Meyer-Weg 55,81925,München,dhl website,48.1734065,11.635348167425,locker-94
DHL,Führichstr. 1,81671,München,dhl website,48.1202157,11.6135420651961,locker-96
DHL,Fürstenrieder Str. 220,81377,München,dhl website,48.11975165,11.501592875806699,locker-97
